Organization/organizer,Title,Description (optional),URL of event,Location,"Category (e.g. hiking, birding, volunteering, class)",Start Date,End Date (if multi-day),Start Time,End Time,Free or paid?,RSVP info,Age group (if specified),Dog-friendly (if specified),Indoor or outdoor?,Imported to Google Calendar
Atlanta Science Festival,Family Zoo Yoga:  Panda monium Style,"Forget Downward Dog! We're doing Downward Panda! Get down with Zoo Atlanta s pandas in a new way through the Family Yoga Program. During this hour-long event for families, you'll enjoy yoga featuring panda-inspired poses. After yoga, we'll explore more about Pandas, their habitat, and how we all can work to conserve this unique species. After the class, we encourage you to stick around visit the Zoo. All non-Zoo members will be provided with a 20%... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/family-zoo-yoga-pandamonium-style/,Atlanta,,2019-03-10,2019-03-10,08:30,09:30,,,,,,No
Atlanta Science Festival,Rock n  Walk,"Millions of years ago, a massive magma chamber cooled below ground near Atlanta, never erupting through to the surface. Now, we call it Stone Mountain. Join GSU Geosciences on a hike to explore this unique granite dome. You can start the hikes or swing by for a hands-on learning session at the Historical and Environmental Education Center where the geologists will explore the history of this notable natural landmark. You ll also be able to  walk ... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/rock-n-walk/,Stone,,2019-03-10,2019-03-10,10:00,15:00,,,,,,No
Atlanta Science Festival,How Humans Move: Physiology & Biomechanics,"Humans are constantly in motion. But have you ever stopped to consider how, precisely, we're able to move the way we do? Join Georgia Institute of Technology PoWeR Lab for a fun afternoon demystifying what makes us run fast, the electricity required to flex your muscles, and so much more. You'll get your blood pumping through fun exercises while you test high-tech gadgets and learn how engineers are designing wearable devices that will make it... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/how-humans-move-physiology-biomechanics/,Atlanta,,2019-03-10,2019-03-10,12:00,17:00,,,,,,No
Atlanta Science Festival,Full STEAM Ahead Second Sunday,"On the second Sunday of each month, the High Museum will offer free admission for all visitors and special family-friendly programming from 1 to 4 p.m. For this Second Sunday, we'll ask, ""What do science, technology, engineering, and math have to do with making art?"" Looking at works of art in our collection with scientists and artists, we will discover how art connects with these subjects as we explore the creative process. Paid parking is... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs) Preschool (0-4 yrs)",https://atlantasciencefestival.org/events-2019/full-steam-ahead-second-sunday/,Atlanta,,2019-03-10,2019-03-10,13:00,16:00,,,,,,No
Atlanta Science Festival,Genius Camp: Makers,"SOLD OUT. Please check back in late February to see if we ve had any cancellations.Join in the maker movement at Georgia State University s EXLAB! Learn how to create a 3D design, scan an object and prepare it for 3D printing, solder your own Georgia State University LED keepsake, view a demo of the laser cutter, and practice on a sewing machine. Free parking available in GSU G Deck. Enter at the Collins Street Entrance... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/genius-camp-makers-1/,Atlanta,,2019-03-10,2019-03-10,13:00,16:00,,,,,,No
Atlanta Science Festival,Don't You Snap at Me!,"The snapping turtle is one of Atlanta's most despised vertebrates. Join us for a discussion and (completely safe) live exhibit exploring the biology, myths and legends of our largest and most notorious native turtle   the snapping turtle. See them up close and personal while learning about their ecology and the role they play in our urban ecosystem. Learn about the Amphibian Foundation s urban turtle conservation programs which benefit our community as well as the... More Details AUDIENCE(S): Families (kids & adults together) Adults Teens (13-18 yrs) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/dont-you-snap-at-me/,Atlanta,,2019-03-10,2019-03-10,14:00,15:30,,,,,,No
Atlanta Science Festival,Walking with the Mesozoic Giants,"The Giants of the Mesozoic exhibit at Fernbank Museum of Natural History showcases one of the largest land animals that ever walked the earth (Argentinosaurus) and the world s largest land carnivore (Giganotosaurus). But have you ever wondered about the origin of these Cretaceous superheroes? Take a virtual trip to Patagonia, Argentina with paleontologist Anthony Martin, Emory professor and author of Dinosaurs Without Bones, as he explores what life was like for these dinosaurs 100 million... More Details AUDIENCE(S): Teens (13-18 yrs) Adults",https://atlantasciencefestival.org/events-2019/walking-with-the-mesozoic-giants/,Atlanta,,2019-03-10,2019-03-10,16:00,17:30,,,,,,No
Atlanta Science Festival,Chemistry Adventures,"This event is SOLD OUT. More tickets will be released on February 25th at 9:00 am.Join us for three chemistry adventures using  redox reactions.  We ll teach you about these amazing chemical reactions that can change materials around us. You ll then start your adventure by creating an  iodine clock.  Then, you can decode a secret message by making it glow in the dark. Finally, you will use electrochemistry to create your own unique colorful design on... More Details AUDIENCE(S): Families (kids & adults together) Teens (13-18 yrs) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/chemistry-adventures/,Clarkston,,2019-03-11,2019-03-11,13:30,14:30,,,,,,No
Atlanta Science Festival,Eating Bugs: A Graphic Novelist's Perspective,Blue Delliquanti spent years researching and diving into the world of entomophagy (the practice of eating insects) to write her graphic novel Meal. Come hear about her culinary adventures and research process as she tells us all about how Meal came to be. We'll have scientist and entomophagist Chelsea Thomas there to tell us more about why eating insects should be the wave of the future. And maybe you'll get to try one of these... More Details AUDIENCE(S): Families (kids & adults together) Teens (13-18 yrs) Children (5-12 yrs),https://atlantasciencefestival.org/events-2019/eating-bugs-a-graphic-novelists-perspective/,Decatur,,2019-03-11,2019-03-11,19:00,20:00,,,,,,No
Atlanta Science Festival,"No Memory of the Past, No Memories for the Future","Mike Lemonick, Chief Opinion Editor at Scientific American and author visits ATLSciFest! Join us to hear him share research from his latest book, The Perpetual Now, where he'll tell the tale of a victim of profound, irreversible amnesia and how she is helping neuroscientists deepen their understanding of how and why we remember. Free parking is available on site. Dinner and drinks will be available for purchase during the talk. More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/no-memory-of-the-past-no-memories-for-the-future/,Atlanta,,2019-03-11,2019-03-11,19:00,20:00,,,,,,No
Atlanta Science Festival,The Most Unknown,The Most Unknown is a captivating documentary that sends nine scientists to different parts of the world to explore the frontier of humanity s biggest questions. What is dark matter? What is time? What is consciousness? Preceding the film will be a panel of Atlanta s own scientists exploring  the most unknown.  Together we will discover how themes from the film can not only advance scientific research but also enrich our own daily lives. More Details AUDIENCE(S): Adults,https://atlantasciencefestival.org/events-2019/the-most-unknown/,Atlanta,,2019-03-11,2019-03-11,19:00,21:30,,,,,,No
Atlanta Science Festival,Unreal Time with Lew Lefton,"Live for the Atlanta Science Festival only is...[insert grandiose music]...Unreal Time with Lew Lefton! Join our evening talk show where we'll be traveling through time and bringing comedians, er, scientists from the past to give us the scoop on how they really made their discoveries. Did Darwin first notice evolution in the creatures living in his beard? Head on over to find out! Paid parking is available in the adjacent garage. Limited street parking also... More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/unreal-time-with-lew-lefton/,Atlanta,,2019-03-11,2019-03-11,20:00,21:30,,,,,,No
Atlanta Science Festival,Science Teachers @ Tech Day,"Are you a high school Biology, Chemistry, Physics, or Earth/Environmental Science teacher who is looking for a way to make your subject matter relevant and come alive? Then Science Teachers @ Tech Day is for you! This event at Georgia Tech involves cutting edge lab tours, collaboration with your peers to complete an authentic college-level freshman lab activity, conversations with Georgia Tech students about how to prepare your students for college, and enjoying the fun... More Details AUDIENCE(S): Educators",https://atlantasciencefestival.org/events-2019/science-teachers-tech-day/,Atlanta,,2019-03-12,2019-03-12,09:30,15:00,,,,,,No
Atlanta Science Festival,Representing the Underrepresented,"This event is SOLD OUT. Join us for an event exploring diverse voices in science. Our panel of scientists and engineers from underrepresented groups will share with you their career paths, successes, and challenges as they found their way into their jobs. This event is designed for middle school girls. Space is limited. Parents need only register for their child (children), not themselves. More Details AUDIENCE(S): Children (5-12 yrs) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/representing-the-underrepresented/,Atlanta,,2019-03-12,2019-03-12,10:00,13:00,,,,,,No
Atlanta Science Festival,The Astrobiology of Star Wars,"One with the Force are you? Join us for this all-ages Star Wars adventure where Professor Jay Dunn and Dr. Jessica Parilla will lead a discussion on how the worlds and aliens of the Star Wars films compare to known planets and life in our solar system and beyond. Along the way, we'll enjoy video clips inspired by Star Wars and other sci-fi favorites. Young Jedi and Padawan alike are encouraged to attend in their... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/the-astrobiology-of-star-wars-2/,Alpharetta,,2019-03-12,2019-03-12,17:00,19:00,,,,,,No
Atlanta Science Festival,Beyond Babbling,"Did you know that children begin to hear and learn language while still in the womb? Or that we can measure the physics of how their vocal tracts develop to produce sound, while their brains develop to produce language? Dr. Gordon Ramsay, an autism researcher at Emory and expert in infant speech, will use both physics and humor to show us how babies learn to talk   and how parents and caregivers play a crucial... More Details AUDIENCE(S): Adults",https://atlantasciencefestival.org/events-2019/beyond-babbling/,Decatur,,2019-03-12,2019-03-12,18:30,19:30,,,,,,No
Atlanta Science Festival,The Science of Cannabis,"SOLD OUT. Please check back in late February to see if we ve had any cancellations.Marijuana - It's been around forever. Heck, even George Washington grew hemp at his home in Mount Vernon. This ancient plant is now being seen in a whole new light, however, as states and nations change their laws and attitudes about the plant. Find out what science has to teach us about cannabis biology, delivery, processing, therapeutics, and addiction as Georgia... More Details AUDIENCE(S): Adults",https://atlantasciencefestival.org/events-2019/the-science-of-cannabis/,Atlanta,,2019-03-12,2019-03-12,19:30,20:30,,,,,,No
Atlanta Science Festival,Neuro-Engineering: Blurring the Lines Between Mind and Machine,"Controlling computers and robots with thoughts? Modifying brain activity to treat disorders such as Alzheimer's Disease and depression without medication? New neurotechnologies can sound like fantasy, but what is science fact and what is science fiction? As this technology blurs the lines between mind and machine, does it change our definition of what it means to be human? Local technology and ethics researchers leading the neuro-engineering revolution will address these questions in an engaging interactive... More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/neuro-engineering-blurring-the-lines-between-mind-and-machine/,Atlanta,,2019-03-12,2019-03-12,19:30,21:30,,,,,,No
Atlanta Science Festival,Science Behind the Scenes at Clorox,This event is SOLD OUT. More tickets will be released on February 25th at 9:00 am.Science is everywhere you look -- even on the shelves at your local store. Ever wonder how science and engineering help to make cleaning products? The Clorox Company wants to share with you a behind the scenes look at their manufacturing plant here in the Atlanta region. This cleaning site makes products that you probably have at your own house... More Details AUDIENCE(S): Families (kids & adults together) Teens (13-18 yrs) Children (5-12 yrs),https://atlantasciencefestival.org/events-2019/science-behind-the-scenes-at-clorox/,Forest,,2019-03-13,2019-03-13,10:00,13:00,,,,,,No
Atlanta Science Festival,The Journey of Our Water,"THIS SESSION IS SOLD OUT. If you are interested in scheduling a visit to the facility outside of the Atlanta Science Festival, please call to schedule at (404) 613-3012. Ever wonder where our water comes from and what happens to water before and after we use it? Come take an educational journey through the Johns Creek Environmental Campus and learn about the entire water treatment cycle! Watch millions of gallons of water journey through the process... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/the-journey-of-our-water-1/,Roswell,,2019-03-13,2019-03-13,11:00,13:00,,,,,,No
Atlanta Science Festival,Code the Glow,"SOLD OUT. Please check back in late February to see if we ve had any cancellations.The next time your friends stop by, your home will be  lit.  Smart home technologies are right at your fingertips at our Code the Glow event, where you will create your own automated programmed lighting system using Arduino. Arduino is a powerful, yet accessible, programmable microcontroller board that can be used for many automated projects. Georgia State University Professor... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/code-the-glow/,Dunwoody,,2019-03-13,2019-03-13,13:00,15:00,,,,,,No
Atlanta Science Festival,Bio-Bus: DNA is for Families,"Let the Georgia State University Bio-Bus take you on a genetics adventure! DNA is for Families is an exciting series of hands-on activities where young learners (ages 5-10) and their parents work together to explore how different traits are inherited. You ll work with DNA models, and models of people, to explore how DNA plays a role in this process. Take your work home to show your friends! To sign up for this event, contact Brandi... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/bio-bus-dna-is-for-families-2/,Dalton,,2019-03-13,2019-03-13,17:00,19:00,,,,,,No
Atlanta Science Festival,The Astrobiology of Star Wars,"One with the Force are you? Join us for this all-ages Star Wars adventure where Professor Jay Dunn and Dr. Jessica Parilla will lead a discussion on how the worlds and aliens of the Star Wars films compare to known planets and life in our solar system and beyond. Along the way, we'll enjoy video clips inspired by Star Wars and other sci-fi favorites. Young Jedi and Padawan alike are encouraged to attend in their... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/the-astrobiology-of-star-wars-1/,Dunwoody,,2019-03-13,2019-03-13,17:00,19:00,,,,,,No
Atlanta Science Festival,Prepar ndonos para lo pr ximo: L deres Latinos en STEM/Preparing for the Next: Latino Leaders in STEM, nete a nosotros para un panel de cient ficos e ingenieros que discutir n sus experiencias en STEM. Este ser  un evento biling e y gratis. Join us for a panel of Latino scientists and engineers discussing their experiences in STEM. This free event will be bilingual. More Details AUDIENCE(S): Adults Teens (13-18 yrs),https://atlantasciencefestival.org/events-2019/preparandonos-para-lo-proximo-lideres-latino-en-stem/,Norcross,,2019-03-13,2019-03-13,18:00,19:30,,,,,,No
Atlanta Science Festival,SSEF STEAM Showcase,"Sharing our Science: Sandy Springs Education Force Sandy Springs Education Force invites the entire community to their 9th annual, award-winning STEAM Showcase. No matter your age, you will enjoy dozens of interactive, hands-on technology and arts demonstrations from STEAM business and educational leaders. Experience cutting-edge Internet of Things, robotics, gaming, healthcare and entertainment exhibits and get inspired about what the future holds! More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs) Teens (13-18 yrs) Adults",https://atlantasciencefestival.org/events-2019/ssef-steam-showcase/,Sandy,,2019-03-13,2019-03-13,18:00,20:00,,,,,,No
Atlanta Science Festival,"To Infinity and Beyond: Science, Fiction, and Popular Understandings of Outer Space","Do you ever wonder how science fiction has inspired scientists to explore the universe or what scientists think about the books, films, and video games that use their ideas? Have you ever been curious about where science fiction artists get their inspiration for the exotic planets and alien creatures populating their stories? If so, then this is the event for you! Our panel brings Georgia Tech astrobiologist Dr. Kennda Lynch, Emory physicist and popular science writer... More Details AUDIENCE(S): Adults Teens (13-18 yrs)","https://atlantasciencefestival.org/events-2019/to-infinity-and-beyond-science-fiction,-and-popular-understandings-of-outer-space/",Decatur,,2019-03-13,2019-03-13,19:00,20:30,,,,,,No
Atlanta Science Festival,Meet a Scientist!,"We re scientists  Ask us anything! Come out for a social mixer with real-life scientists from throughout Atlanta. This will NOT be a boring lecture, but instead a fun, casual, game-filled evening, where you can have conversations with us over beer about how we, as scientists, make new discoveries and solve the world s problems. You ll also learn more about the contributions of women and minorities to science. Come find out how we re working to save the... More Details AUDIENCE(S): Adults",https://atlantasciencefestival.org/events-2019/meet-a-scientist/,Atlanta,,2019-03-13,2019-03-13,19:00,21:00,,,,,,No
Atlanta Science Festival,Insects Around Us,"Do you love insects? You will after this event! Sometimes friends, sometimes foes, insects have held a tempestuous place in human history. Explore the fascinating world of insects, visiting stations where you can catch and observe insects under microscopes, explore insect life cycles, create art inspired by our insect friends, and dine on insect culinary treats (YUM). Free parking available in Lots 1 & 5. More Details AUDIENCE(S): Families (kids & adults together) Teens (13-18 yrs) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/insects-around-us/,Decatur,,2019-03-14,2019-03-14,10:00,12:00,,,,,,No
Atlanta Science Festival,STEMCon,"This event is SOLD OUT. Disease detectives are hard at work here in Atlanta! Northrop Grumman employees use science and data daily as they help us battle germs. Meet up with us to learn how disease detectives fight contagions and become a disease detective yourself! Space is limited. Parents need only register for their child (children), not themselves. More Details AUDIENCE(S): Children (5-12 yrs) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/stemcon/,Atlanta,,2019-03-14,2019-03-14,10:00,14:00,,,,,,No
Atlanta Science Festival,Pi Day,"It s Pi Day at Children s Museum of Atlanta! On March 14th, the entire Museum will celebrate a day of mathematical fun. Join Professor Labcoat at the Science Bar to test your math skills, watch a special performance based on the book Sir Cumference and the Dragon of Pi by Cindi Neuschwande, help the Imaginators find the missing pies, build a Pi symbol wall hanger in the Build It Lab, and more! More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs) Preschool (0-4 yrs)",https://atlantasciencefestival.org/events-2019/pi-day/,Atlanta,,2019-03-14,2019-03-14,10:00,16:00,,,,,,No
Atlanta Science Festival,Will Nano-Tattoos Make Your Remote Control Obsolete?,"What do clean drinking water for all, targeted cancer treatment, invisibility cloaks, self-healing fabrics, quantum computing, a space elevator, and bendable electronics have in common? They may all be possible through nanotechnology. Led by members of the Georgia Tech nanotechnology community, come learn about nanotechnology, its current applications, the hype surrounding its development, and potential future uses. Then, join the discussion and share how you d like nanotechnology to impact your life. Paid parking is available in... More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/will-nano-tattoos-make-your-remote-control-obsolete/,Atlanta,,2019-03-14,2019-03-14,19:00,20:00,,,,,,No
Atlanta Science Festival,Science & Spirituality: An Exploration of Gender Identity,"What are the intersections and shared pathways between biology and belief? What holistic approaches do science and spirituality offer to our bodies, our selves? Join us to hear a panel of local scientists and theologians offer a wide range of insights in a safe space for open dialogue. Free parking is available in the church parking lot and across the street in the Post Office. More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/science-spirituality-an-exploration-of-gender-identity/,Decatur,,2019-03-14,2019-03-14,19:00,20:30,,,,,,No
Atlanta Science Festival,Taste of Science,"They say you are what you eat, so get to know yourself better by visiting Fernbank Science Center for a taste of science! Enjoy culinary treats as local scientists offer their thought-provoking insight about threats to our food supply and public health through engaging mini lectures. See what you learned when you cap off the evening by competing for free planetarium passes in our live, online game! Free parking is available on site. More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/taste-of-science/,Atlanta,,2019-03-14,2019-03-14,19:00,21:00,,,,,,No
Atlanta Science Festival,Science Riot,"Take some scientists, teach them the basics of comedy writing, and put them onstage for a live audience performance. Real Science. Real Experts. Real Funny. Limited free parking is available in the adjacent lot and in nearby streets. Paid parking is available in the garage across the street. Please note that the price listed here ($15) is the most up to date cost for tickets for this event. More Details AUDIENCE(S): Adults",https://atlantasciencefestival.org/events-2019/science-riot/,Atlanta,,2019-03-14,2019-03-14,19:30,21:30,,,,,,No
Atlanta Science Festival,By the People: Designing a Better America   Interactive Family Tour,"Visit the CDC Museum for a fun and interactive family tour of ""By the People: Designing a Better America."" We'll focus on humanitarian design solutions in the modern world, examining how design is addressing social, health, economic, and environmental challenges faced by communities around the nation. The exhibition is organized around six themes that embody current approaches designers are taking to resolve complex issues. You'll get to tour the exhibit by participating in a scavenger... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/by-the-people-designing-a-better-america-interactive-family-tour/,Atlanta,,2019-03-15,2019-03-15,10:00,12:00,,,,,,No
Atlanta Science Festival,The Sound of Light,"This event is SOLD OUT. More tickets will be released on February 25th at 9:00 am.Theremins are musical instruments you play without touching them! They make strange, otherworldly sounds, like we find in old sci-fi movies, The Big Bang Theory, and now on your own desk! Join us to learn how they work and then make one to take home. Free parking available in Lots 1 & 5. Please note that walk-ups will not be... More Details AUDIENCE(S): Families (kids & adults together) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/the-sound-of-light/,Decatur,,2019-03-15,2019-03-15,10:00,12:00,,,,,,No
Atlanta Science Festival,Bio-Bus: DNA is for Families,"Let the Georgia State University Bio-Bus take you on a genetics adventure! DNA is for Families is an exciting series of hands-on activities where young learners (ages 5-10) and their parents work together to explore how different traits are inherited. You ll work with DNA models, and models of people, to explore how DNA plays a role in this process. Take your work home to show your friends! This is a drop-in event. No registration necessary.... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/bio-bus-dna-is-for-families-1/,Norcross,,2019-03-15,2019-03-15,14:30,17:00,,,,,,No
Atlanta Science Festival,Communicating the Science of the Georgia Coast,"Alligators, dolphins, ghost crabs, pelicans, live oaks, and wasps: oh my! In this highly energetic science communication workshop, adult and teen participants will engage in improvisational storytelling and movement-oriented activities to cultivate advocating for conservation of the Georgia coast. By accessing information from  micro-lectures  about animals, plants, and ecosystems delivered by scientist and author Dr. Anthony J. Martin, everyone is invited to delve into their creativity to find new and powerful ways to communicate factually,... More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/communicating-the-science-of-the-georgia-coast/,Atlanta,,2019-03-15,2019-03-15,19:00,21:00,,,,,,No
Atlanta Science Festival,Intro to Curling: Exploring the Boundary Where Granite Meets Ice,"SOLD OUT. Please check back in late February to see if we ve had any cancellations.You've seen that Winter Olympic sport with the rocks and sweeping and yelling, but do you know what's actually going on? Sign up for this 2 hour class with the Atlanta Curling Club and we'll explain everything as you learn step-by-step how to throw a stone and sweep it into the ""house."" We ll cover sweeping, collisions, why the stone  curls  in... More Details AUDIENCE(S): Adults Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/intro-to-curling-exploring-the-boundary-where-granite-meets-ice-1/,Sandy,,2019-03-15,2019-03-15,19:30,21:30,,,,,,No
Atlanta Science Festival,Family Zoo Safari Camp,"THIS EVENT IS SOLD OUT. Come to the Zoo for a unique family exploration. This three hour program for parents with children 4-13 gives families hands-on, minds-on fun as they explore what it is like to be a zoo keeper, field researcher and conservationist. Fun will include brainstorming with one of our keepers to create enrichment for animals, using the technology of field researchers, and creating a family plan on how to grocery shop sustainably.... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/family-zoo-safari-camp/,Atlanta,,2019-03-16,2019-03-16,09:00,12:00,,,,,,No
